month,day,temperature,humidity,windspeed,visibility,dewtemp,solarradiation,rain,snow,holiday,fday,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,week_1,week_2,week_3,week_4,week_5,week_6,gotowork_1,gotowork_2,season_1,season_2,season_3,rm_pred
11,4,0.1270143509810262,1.1675974259629018,2.7745396699248785,-0.6507467236399607,0.5533227672533757,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
10,9,0.6042356799288195,-0.06022496878724208,-0.1205401975252643,0.9258713477706347,0.5533227672533757,0.18520765391222618,-0.13179988368373619,-0.17189109256898677,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,959.0
4,20,0.24422660721381756,-0.7969184056373284,-0.7960588332636312,-1.2393069630195155,-0.09753824450444254,0.921943540283993,-0.13179988368373619,-0.17189109256898677,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,647.0
5,2,-2.0079231732591016,-0.9933699887973514,0.6514811004614405,0.8354500819441668,-2.0424640914042755,-0.1601372928245394,-0.13179988368373619,-0.17189109256898677,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,115.0
4,25,0.7716817602613786,-1.7791763214374434,0.3619731137164263,0.05453914980648923,-0.35788264920756974,2.9364557295817924,-0.13179988368373619,-0.17189109256898677,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,967.0
4,14,-0.29997315386699935,1.118484530172896,0.6514811004614405,0.9258713477706347,0.15514897182506332,-0.056533808803509694,-0.13179988368373619,-0.17189109256898677,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,555.0
3,17,-0.8274283069145604,-0.30578944773727085,-0.9890641577603075,0.9258713477706347,-0.7637136330095035,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,332.0
1,2,-1.2962773318457257,-1.2389344677473801,-0.21704285977360252,0.6463874352160975,-1.5830327889869922,0.4384606148525209,-0.13179988368373619,3.033815049867226,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,193.0
5,27,0.8805217124775417,-0.9933699887973514,1.0374917494547928,0.5247297321041224,0.31594992767111246,1.4975184515119355,-0.13179988368373619,-0.17189109256898677,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1579.0
7,14,1.0730847048599848,1.314936113332919,-1.2785721445053218,0.13509627754279702,1.4415566185934567,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,903.0
